Weight	Nested	Procedure	Arew	Brew	Crew	topstim	leftstim	rightstim	reinforced1	reinforced2	reinforced3	jitter1	jitter2	compresp	repeatstim
1		normalproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	3064	3557	7	
1		doubleproc	1	0	0	B.bmp	A.bmp	C.bmp	0	2	0	2261	2440	3	
1		halfproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	3514	2748	2	
1		doubleproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	3654	4271	7	
1		normalproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	2586	2265	3	
1		normalproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	3519	1597	2	
1		normalproc	1	0	0	B.bmp	C.bmp	A.bmp	0	0	3	2300	4842	7	
1		halfproc	1	1	0	C.bmp	A.bmp	B.bmp	0	2	3	3525	1658	3	
1		halfproc	1	1	0	C.bmp	A.bmp	B.bmp	0	2	3	3394	2395	2	
1		doubleproc	1	0	0	C.bmp	B.bmp	A.bmp	0	0	3	3437	2775	7	
1		halfproc	1	1	0	A.bmp	B.bmp	C.bmp	7	2	0	4944	4322	3	
1		halfproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	6917	3594	2	
1		mystnorm	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	7395	2707	7	
1		doubleproc	1	1	1	C.bmp	B.bmp	A.bmp	7	2	3	2237	2444	3	
1		doubleproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	4912	3055	2	
1		halfproc	1	0	0	C.bmp	A.bmp	B.bmp	0	2	0	2298	1886	7	
1		compnorm	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	2680	1689	3	
1		halfproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	2272	1964	2	
1		halfproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2128	2851	7	
1		normalproc	0	1	1	A.bmp	C.bmp	B.bmp	0	2	3	5937	2256	3	
1		doubleproc	0	1	1	B.bmp	A.bmp	C.bmp	7	0	3	3863	2167	2	
1		mystnorm	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2039	4590	7	
1		doubleproc	0	1	1	B.bmp	A.bmp	C.bmp	7	0	3	2878	2551	3	
1		doubleproc	0	1	1	C.bmp	A.bmp	B.bmp	7	0	3	2219	3255	2	
1		normalproc	0	0	0	B.bmp	C.bmp	A.bmp	0	0	0	3459	2321	7	
1		doubleproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	11524	1587	3	
1		doubleproc	1	0	0	A.bmp	B.bmp	C.bmp	7	0	0	2947	2777	2	
1		normalproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	2303	1685	7	
1		doubleproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	3279	1610	3	
1		comphalf	1	1	1	C.bmp	A.bmp	B.bmp	7	2	3	2643	1617	2	
1		halfproc	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	2997	3040	7	
1		normalproc	1	1	1	B.bmp	A.bmp	C.bmp	7	2	3	3061	3521	3	
1		normalproc	0	0	0	B.bmp	C.bmp	A.bmp	0	0	0	2117	2474	2	
1		halfproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	4820	2505	7	
1		halfproc	0	1	1	B.bmp	C.bmp	A.bmp	7	2	0	3693	2363	3	
1		doubleproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	13175	2068	2	
1		halfproc	0	1	1	B.bmp	C.bmp	A.bmp	7	2	0	2992	5072	7	
1		normalproc	0	1	1	A.bmp	C.bmp	B.bmp	0	2	3	2086	1704	3	
1		doubleproc	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	6698	1588	2	
1		normalproc	0	0	1	C.bmp	A.bmp	B.bmp	7	0	0	3017	1684	7	
1		doubleproc	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	2242	1751	3	
1		normalproc	1	1	1	B.bmp	A.bmp	C.bmp	7	2	3	4797	1642	2	
1		normalproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	12440	8219	7	
1		mystnorm	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	2409	2470	3	
1		doubleproc	0	0	1	B.bmp	A.bmp	C.bmp	0	0	3	5925	2145	2	
1		doubleproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	2256	2931	7	
1		normalproc	0	1	0	A.bmp	C.bmp	B.bmp	0	0	3	6700	2148	3	
1		doubleproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	4085	1906	2	
1		halfproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	3044	2328	7	
1		normalproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	3072	2188	3	
1		halfproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	2808	3419	2	
1		halfproc	0	1	1	B.bmp	C.bmp	A.bmp	7	2	0	4415	1691	7	
1		halfproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	7639	1787	3	
1		doubleproc	1	1	1	B.bmp	A.bmp	C.bmp	7	2	3	5936	2189	2	
1		normalproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	2570	1773	7	
1		halfproc	0	1	0	A.bmp	C.bmp	B.bmp	0	0	3	4839	3463	3	
1		doubleproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	2860	2871	2	
1		doubleproc	1	0	1	A.bmp	C.bmp	B.bmp	7	2	0	2407	3284	7	
1		doubleproc	1	0	1	B.bmp	C.bmp	A.bmp	0	2	3	6945	2718	3	
1		normalproc	0	1	1	C.bmp	A.bmp	B.bmp	7	0	3	2057	5106	2	
1		doubleproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	2448	1643	7	
1		normalproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	2360	6634	3	
1		doubleproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	3359	2767	2	
1		BreakProc2													
1		normalproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	7997	6435	7	
1		mystnorm	0	1	1	B.bmp	C.bmp	A.bmp	7	2	0	3595	5205	3	
1		normalproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	3672	1860	2	
1		halfproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	4270	1642	7	
1		halfproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	2430	2939	3	
1		halfproc	1	1	1	A.bmp	B.bmp	C.bmp	7	2	3	8671	5006	2	
1		doubleproc	0	0	1	C.bmp	A.bmp	B.bmp	7	0	0	2472	3550	7	
1		normalproc	1	0	1	B.bmp	A.bmp	C.bmp	0	2	3	8918	1943	3	
1		normalproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	8009	1667	2	
1		halfproc	0	0	1	B.bmp	A.bmp	C.bmp	0	0	3	4523	2880	7	
1		halfproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	2851	2205	3	
1		doubleproc	1	1	1	A.bmp	C.bmp	B.bmp	7	2	3	3428	2350	2	
1		doubleproc	0	0	1	C.bmp	A.bmp	B.bmp	7	0	0	2055	1667	7	
1		normalproc	0	1	1	B.bmp	C.bmp	A.bmp	7	2	0	2579	3812	3	
1		halfproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	3132	9836	2	
